track_name,track_id,duration_ms,explicit,track_number,album_id,album_name,album_release_date,album_total_tracks,album_type,artist_name,artist_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence
Fortnight (feat. Post Malone),6dODwocEuGzHAavXqTbwHv,228965,FALSE,1,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,31,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.504,0.386,-10.976,0.0308,0.502,0.0000153,0.0961,0.281
The Tortured Poets Department,4PdLaGZubp4lghChqp8erB,293048,TRUE,2,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,31,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.604,0.428,-8.441,0.0255,0.0483,0,0.126,0.292
My Boy Only Breaks His Favorite Toys,7uGYWMwRy24dm7RUDDhUlD,203801,FALSE,3,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,31,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.596,0.563,-7.362,0.0269,0.137,0,0.302,0.481
Down Bad,1kbEbBdEgQdQeLXCJh28pJ,261228,TRUE,4,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,31,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.541,0.366,-10.412,0.0748,0.56,0.000001,0.0946,0.168
"So Long, London",7wAkQFShJ27V8362MqevQr,262974,FALSE,5,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,31,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.423,0.533,-11.388,0.322,0.73,0.00264,0.0816,0.248
But Daddy I Love Him,4QMgEffJQuKtjCNvqfRZ0m,340428,TRUE,6,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,31,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.521,0.72,-7.684,0.104,0.384,0,0.135,0.438
Fresh Out The Slammer,7IWcDWOfiooH5hRs9XOVYz,210789,FALSE,7,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,31,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.33,0.483,-9.394,0.0399,0.624,0,0.111,0.34
Florida!!! (feat. Florence + The Machine),5ExOm0dh4NyRyAdSAO9hyM,215463,TRUE,8,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,31,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.533,0.573,-7.123,0.138,0.178,0,0.309,0.398
Guilty as Sin?,799KrpEbhZp0MHeiA8YK9P,254365,FALSE,9,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,31,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.626,0.428,-8.374,0.0261,0.607,0,0.0921,0.487
Who’s Afraid of Little Old Me?,2d8UxVNhJinc8uat9PoM9y,334084,FALSE,10,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,31,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.606,0.338,-10.555,0.048,0.315,0,0.106,0.238
I Can Fix Him (No Really I Can),5chnRTB9qMK3W1M41SnU9s,156297,FALSE,11,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,31,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.661,0.257,-13.961,0.045,0.768,0.00000172,0.176,0.318
loml,3YkNIrAvbKNrrwwEd7NVLl,277156,TRUE,12,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,31,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.423,0.272,-12.56,0.0489,0.858,0,0.108,0.195
I Can Do It With a Broken Heart,2fPvQfGQEZOKtJ9qXeL4x8,218004,TRUE,13,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,31,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.701,0.751,-8.39,0.0502,0.123,0,0.15,0.22
The Smallest Man Who Ever Lived,1xtw1krCR6Dw2KwkXw5z63,245541,TRUE,14,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,31,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.426,0.41,-9.083,0.0581,0.52,0,0.338,0.263
The Alchemy,1tuNqJOtRQVHvONR8Lg3MZ,196900,FALSE,15,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,31,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.64,0.421,-8.802,0.0273,0.422,0,0.103,0.353
Clara Bow,4d9PtIEVij9jW5OaLinH66,216662,FALSE,16,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,31,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.686,0.318,-11.046,0.0263,0.636,0.00144,0.106,0.214
The Black Dog,62E2nR0od0M5HYxuYLaDz7,238857,TRUE,17,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,31,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.527,0.27,-10.855,0.038,0.707,0,0.102,0.23
imgonnagetyouback,1kcwpPDQnqEqmezzXdJTCP,222072,FALSE,18,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,31,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.784,0.391,-9.471,0.0633,0.608,0,0.252,0.15
The Albatross,4EF6IyONolQy0bIQXm2EmX,183878,FALSE,19,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,31,album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0.352,0.479,-8.942,0.0583,0.655,0,0.0935,0.292
